論文番号,WEKO_URL,アイテムタイプ,査読区別,著者(姓+名),タイトル,タイトル(英),abstract,グループID,研究対象・データタイプ,研究対象・データタイプ（備考）,研究目的・応用分野,研究目的・応用分野（備考）,手法・技術要素分類,手法・技術要素分類（備考）,言語,公開日,書誌情報(雑誌名),書誌情報(巻),書誌情報(号),書誌情報(開始ページ),書誌情報(終了ページ),書誌情報(発行年),DOI,リンクURL(URL),使用データ(表示名),間取り図画像データ,月次データ,賃貸物件スナップショットデータ
11,https://dsc.repo.nii.ac.jp/?action=repository_uri&item_id=3662,Presentation (DSC),なし,"高田,祐樹|山崎,俊彦",LIFULLデータセットを用いた間取り画像処理,,,22,A1,画像：間取り図,B2,間取り画像の処理,C3,(3) CV,ja,2022/11/26,NII-IDRユーザフォーラム2017,,,,,2017,,,LIFULL HOME'S高精細度間取り図画像データ,TRUE,,
12,https://dsc.repo.nii.ac.jp/?action=repository_uri&item_id=4064,Conference Paper (DSC),あり（会議）,"Yamasaki,Toshihiko|Zhang,Jin|Takada,Yuki",Apartment Structure Estimation Using Fully Convolutional Networks and Graph Model,,"Apartment searching has been a hot demand all over the world. Understanding the apartment structure will significantly contribute to simplifying the searching process. In this project, the fully convolutional networks are applied to generate semantic segmentation for the apartment floor plan images. We then study and optimize an algorithm to extract the graph model from the segmentation, and to extract the maximum common subgraph with which the structure similarity can be measured. We generate the ground truth data by using online annotation tool and experiment on half of the data. Our segmentation prediction results achieve a pixel mean accuracy of $0.89$ for the full-label model, and retrieve quite similar apartment structures by using graph modeling.",23,A1,画像：間取り図セグメンテーション,B2,間取り画像セグメンテーション・構造推定,C1 / C3,(1) ML/DL / (3) CV,en,2022/11/26,International Workshop on Real Estate Tech 2018 (Multimedia for RETech 2018) in conjunction with ICMR2018,,,,,2018,,https://doi.org/10.1145/3210499.3210528,LIFULL HOME'S高精細度間取り図画像データ,TRUE,,
13,https://dsc.repo.nii.ac.jp/?action=repository_uri&item_id=3746,Conference Paper (DSC),あり（会議）,"Yuki,Takada|Naoto,Inoue|Toshihiko,Yamasaki|Kiyoharu,Aizawa",Similar Floor Plan Retrieval Featuring Multi-Task Learning of Layout Type Classification and Room Presence Prediction,,"In this paper, a new framework for real estate property searches is presented in which a floor plan image is used as a query. In similar property searches, appearance-based similar image retrieval does not work well because similar properties have totally different floor plan images. Therefore, a multitask learning method using deep neural networks to solve this problem is presented. Convolutional Neural Networks (CNNs) are trained to solve the two tasks: layout type classification and room presence classification. The feature vectors obtained from the CNNs are then applied to the retrieval task. Experiments using 22,140 floor plan images in Tokyo, Japan were conducted, and the proposed method achieved the best performance (15.7% with precision@5) compared to other possible approaches.",24,A1,画像：間取り図,B2,類似間取り検索,C1 / C3,(1) ML/DL / (3) CV,en,2022/11/26,IEEE International Conference on Consumer Electronics (ICCE2018),,,931,936,2018,10.1109/ICCE.2018.8326163,https://doi.org/10.1109/ICCE.2018.8326163,LIFULL HOME'S賃貸物件スナップショットデータ|LIFULL HOME'S高精細度間取り図画像データ,TRUE,,TRUE
14,https://dsc.repo.nii.ac.jp/?action=repository_uri&item_id=4061,Presentation (DSC),なし,"山田,万太郎|山崎,俊彦",深層学習を用いた不動産間取り図のグラフ化,,本研究では、間取り図をグラフ構造に変換する手法を提案します。これにより、間取り同士の比較や評価が容易になると考えられます。応用先としては、例えば、より詳細な間取りの分類や検索、評価などが挙げられます。,2,A1,画像：間取り図,B2,間取り図のグラフ化,C1 / C3 / C5,(1) ML/DL / (3) CV / (5) Graph/KE,ja,2022/11/26,NII-IDRユーザフォーラム2018,,,,,2018,10.11517/idr.userforum.www.nii.ac.jp_IDR,https://www.nii.ac.jp/dsc/idr/userforum/poster/IDR-UF2018_P15.pdf,LIFULL HOME'S高精細度間取り図画像データ,TRUE,,
15,https://dsc.repo.nii.ac.jp/?action=repository_uri&item_id=4194,Presentation (DSC),なし,"山田,万太郎|山崎,俊彦",深層学習を用いた不動産間取り図のグラフ化とその応用,,,2,A1,画像：間取り図,B2 / B5,間取り解析 + 検索,C1 / C3 / C5,(1) ML/DL / (3) CV / (5) Graph/KE,ja,2022/11/26,NII-IDRユーザフォーラム2019,,,,,2019,10.11517/idr.userforum.www.nii.ac.jp_IDR,https://www.nii.ac.jp/dsc/idr/userforum/slide/IDR-UF2019_yamada.pdf,LIFULL HOME'S高精細度間取り図画像データ,TRUE,,
16,https://dsc.repo.nii.ac.jp/?action=repository_uri&item_id=4062,Conference Paper (DSC),なし,"山田,万太郎|山崎,俊彦|相澤,清晴",Semantic Segmentationを用いた不動産間取り図のグラフ構造への変換,,,2,A1,画像：間取り図,B2,間取り図の構造解析,C1 / C3 / C5,(1) ML/DL / (3) CV / (5) Graph/KE,ja,2022/11/26,HCGシンポジウム2018,,,,,2018,,https://www.ieice.org/ken/paper/317Y/,LIFULL HOME'S高精細度間取り図画像データ,TRUE,,
17,https://dsc.repo.nii.ac.jp/?action=repository_uri&item_id=4249,Conference Paper (DSC),なし,"山田,万太郎|汪,雪婷|山崎,俊彦|相澤,清晴",深層学習を用いた不動産間取り図のグラフ化と物件検索への応用,,本研究の目的は，不動産間取り図をその間取りを反映したグラフ構造に自動で変換することである．それには，深層学習によるsemantic segmentationを行うことで画像中の各部屋やドアを認識し，それらの隣接関係をもとにグラフ構造を作成するという手法でグラフ化を行う．この提案手法により，正解グラフと81%の類似度を持つグラフに変換できることを確認した．さらには，自動変換したグラフを用いて実際に類似間取り検索への応用を示した．間取り図をグラフ構造という構造化された表現に変換することで，間取りの比較や評価，さらには検索が容易になり，間取りを扱うあらゆるシステムへの応用が期待される．,2,A1,画像：間取り図,B2,間取り図のグラフ化・類似検索,C1 / C3 / C5,(1) ML/DL / (3) CV / (5) Graph/KE,ja,2022/11/26,人工知能学会 全国大会論文集,33,,,,2019,10.11517/pjsai.JSAI2019.0_3N4J1003,https://www.jstage.jst.go.jp/article/pjsai/JSAI2019/0/JSAI2019_3N4J1003/_article/-char/ja/,LIFULL HOME'S高精細度間取り図画像データ,TRUE,,
18,https://dsc.repo.nii.ac.jp/?action=repository_uri&item_id=4063,Conference Paper (DSC),なし,"山田,万太郎|汪,雪婷|山崎,俊彦|相澤,清晴",深層学習による画像認識を用いた不動産間取り図のグラフへの変換,,,2,A1,画像：間取り図,B2,間取り図のグラフ化,C1 / C3 / C5,(1) ML/DL / (3) CV / (5) Graph/KE,ja,2022/11/26,電子情報通信学会 総合大会講演論文集,情報・システム,,,,2019,,,LIFULL HOME'S高精細度間取り図画像データ,TRUE,,
19,https://dsc.repo.nii.ac.jp/?action=repository_uri&item_id=4250,Conference Paper (DSC),なし,"山田,万太郎|汪,雪婷|山崎,俊彦|相澤,清晴",深層学習を用いた不動産間取り図のグラフ化と物件検索システムへの応用,,,2,A1,画像：間取り図,B2 / B4,(間取りのグラフ化 + 検索システム応用),C1 / C3 / C5,(1) ML/DL / (3) CV / (5) Graph/KE,ja,2022/11/26,画像の認識・理解シンポジウム (MIRU2019),22,,,,2019,,,LIFULL HOME'S高精細度間取り図画像データ,TRUE,,
20,https://dsc.repo.nii.ac.jp/?action=repository_uri&item_id=5013,Conference Paper (DSC)_03,なし,"瀧澤,重志|山崎,俊彦",グラフ畳み込みネットワークを用いた賃貸住宅の間取りの不動産的価値の推計方法,,,3,A1,画像：間取り図 -> グラフ,B1 / B2,(GCNで間取り価値推定 + 間取り解析),C1 / C5,(1) ML/DL(GNN) / (5) Graph/KE,ja,2023/12/3,日本建築学会大会学術講演梗概集,,,69,70,2022,,,LIFULL HOME'S賃貸物件スナップショットデータ|LIFULL HOME'S高精細度間取り図画像データ,TRUE,,TRUE
21,https://dsc.repo.nii.ac.jp/?action=repository_uri&item_id=4732,Conference Paper (DSC),なし,"瀧澤,重志|川上,宥子|山崎,俊彦",大阪府内における住宅系不動産の間取り画像からのアクセスグラフの自動作成と分析,,,3,A1,画像：間取り図,B1 / B2,間取り画像のグラフ生成,C1 / C5,(1) ML/DL(GNN) / (5) Graph/KE,ja,2022/11/26,日本建築学会大会（東海）学術講演梗概集,,,17,18,2021,,,LIFULL HOME'S賃貸物件スナップショットデータ,,,TRUE
22,https://dsc.repo.nii.ac.jp/?action=repository_uri&item_id=4195,Presentation (DSC),なし,"楢原,太郎|山崎,俊彦",不動産間取り図の魅力度解析,,本研究では、LIFULL HOME'Sデータセットから取得した不動産物件の間取り図を対象に、深層学習を用いて間取り図からグラフ構造を自動抽出し、そのグラフ構造を用いて物件の魅力度を評価する手法を提案します。具体的には、間取り図から部屋や設備をノード、接続関係をエッジとするグラフを生成し、グラフニューラルネットワーク（GNN）を適用して、物件の魅力度を数値化・分類します。この手法により、従来の手動による特徴抽出に比べて、効率的かつ高精度な魅力度評価が可能となり、不動産物件の評価や検索システムの高度化に寄与することが期待されます。,4,A1,画像：間取り図,B2,魅力・住み心地評価,C1 / C6,(1) ML/DL? / (6) IoT/CS/Other(クラウドソーシング),ja,2022/11/26,NII-IDRユーザフォーラム2019,,,,,2019,0.09/IDRユーザフォーラム.2019.32072,https://www.nii.ac.jp/dsc/idr/userforum/poster/IDR-UF2019_P18.pdf,LIFULL HOME'S高精細度間取り図画像データ,TRUE,,
23,https://dsc.repo.nii.ac.jp/?action=repository_uri&item_id=4251,Conference Paper (DSC),なし,"楢原,太郎|山崎,俊彦",間取り図の主観評価による不動産物件の魅力度データ作成と考察,,,4,A1,画像：間取り図,B2,魅力度の主観評価,C6,(6) IoT/CS/Other(クラウドソーシング),ja,2022/11/26,画像の認識・理解シンポジウム (MIRU2019),22,,,,2019,,,LIFULL HOME'S高精細度間取り図画像データ,TRUE,,
24,https://dsc.repo.nii.ac.jp/?action=repository_uri&item_id=4252,Conference Paper (DSC),なし,"楢原,太郎|汪,雪婷|山崎,俊彦",不動産間取り図から主観的に感じる魅力度と間取り要素の関連解析,What is the Key to Attract People in Apartments? - Construction and Analysis of Attractiveness Dataset for Real Estate Floor Plans -,,4,A1,画像：間取り図,B2,魅力度分析,C6,(6) IoT/CS/Other(クラウドソーシング),ja,2022/11/26,"電子情報通信学会技術研究報告. MVE, メディアエクスペリエンス・バーチャル環境基礎",119,190,43,48,2019,,https://www.ieice.org/ken/paper/20190829V1pe/,LIFULL HOME'S高精細度間取り図画像データ,TRUE,,
25,https://dsc.repo.nii.ac.jp/?action=repository_uri&item_id=4559,Conference Paper (DSC),なし,"楢原,太郎|汪,雪婷|山崎,俊彦",不動産間取り図を対象にした物件魅力度データセットの構築と分析,,深層学習を用いた間取り認識に住み心地に関連した項目を抽出するには主観評価に基づいたデータ導入が必須である。本研究ではクラウドソーシングを用いて不動産の間取り画像の印象や機能性に関する項目（例えば今風か、プライバシーは高いかなど）に基づく魅力度データセットを作成、その結果について考察を行った。これまで著者らが報告した予備実験では設問数6項目、間取り図40枚に対し被験者10名が対象だったが、今回は設問数9、間取り図1000枚、被験者3128名で大規模なデータセットを構築した。被験者は性別及び世代別に募り、家族構成を含む様々な属性と主観評価結果との関係性を考察した。その結果、被験者が魅力的だと感じる間取り図は世代等の属性の違いによって異なり、各グループの選択した間取りに見られる項目別の評価値の違いからその嗜好に特定の傾向がある事が示せた。また、各間取りの魅力度の項目別結果と各部屋の繋がり方を反映したグラフ構造との間に特定の傾向が見られる事も分かった。本研究は今後、建築デザインの世界で経験的に言われてきた重要項目をデータサイエンス的に明らかにしていく上での一歩と考えている。,4,A1,画像：間取り図,B2,魅力度データセット,C6,(6) IoT/CS/Other(クラウドソーシング),ja,2022/11/26,人工知能学会 全国大会論文集,34,,,,2020,10.11517/pjsai.JSAI2020.0_2P6GS1305,https://www.jstage.jst.go.jp/article/pjsai/JSAI2020/0/JSAI2020_2P6GS1305/_article/-char/ja/,LIFULL HOME'S高精細度間取り図画像データ,TRUE,,
26,https://dsc.repo.nii.ac.jp/?action=repository_uri&item_id=4558,Conference Paper (DSC),なし,"楢原,太郎|汪,雪婷|山崎,俊彦",不動産間取りの魅力度データセット構築とグラフ構造から見た関連性分析,,,4,A1,画像：間取り図,B2,魅力度と間取りグラフの関連性分析,C5 / C6,(5) Graph/KE + (6) IoT/CS/Other(クラウドソーシング),ja,2022/11/26,The 23rd Meeting on Image Recognition and Understanding (MIRU),,,,,2020,0.09/MIRU.2020.32072,,LIFULL HOME'S高精細度間取り図画像データ,TRUE,,
27,https://dsc.repo.nii.ac.jp/?action=repository_uri&item_id=4248,Conference Paper (DSC),あり（会議）,"Narahara,Taro|Wang,Xueting|Yamasaki,Toshihiko",A Comparative Study of Data-driven Approaches for The Generation of Floor Plans in Japanese Apartments,,"Recent approaches based on generative adversarial networks (GANs) have synthesized photorealistic facial expressions with user-specified attributes using big data of human faces. In this study, we investigate the feasibility of these techniques for generating architectural floor plans using the dataset of the floor plans of Japanese apartments. We have compared four approaches based on different GANs, including our new approach based on conditional GAN, which can generate floor plans with user-selected attributes such as the relative size of a specific room. We observed that the use of floor-plan images with segmentation labels yields better results than that obtained by using raw images from the dataset. Further, we found that the use of pixel-wise image inputs only can occasionally lead to the generation of dysfunctional floor layouts. Therefore, we believe that the use of graph structures for the floor plans is a promising approach for future studies.",25,A1,画像：間取り図,B2,フロアプラン生成・GANなど,C1,(1) ML/DL(GAN),en,2022/11/26,The 10th International Workshop on Image Media Quality and Its Applications (IMQA2020),,,,,2020,10.11517/d.1izlo_S6rmaNP9CJ1L5TljVkF7xsCALqc._S6rmaNP9CJ1L5TljVkF7xsCALqc,https://drive.google.com/file/d/1izlo_S6rmaNP9CJ1L5TljVkF7xsCALqc/view?usp=sharing,LIFULL HOME'S高精細度間取り図画像データ,TRUE,,
28,https://dsc.repo.nii.ac.jp/?action=repository_uri&item_id=4247,Conference Paper (DSC),あり（会議）,"Narahara,Taro|Yamasaki,Toshihiko",A Preliminary Study on Attractiveness Analysis of Real Estate Floor Plans,,"Understanding correlations between real estate floor plans and their implicit qualities in a quantitative data format would be important in order to obtain deep neural networks that could extract features related to the attractiveness of apartments. This paper presents creation and analysis of the preliminary dataset based on the attractiveness of floor plans using six statements that explore qualitative and functional values of apartments such as a level of comfort, perceived size, novelty, and so on, using crowdsourcing. Results revealed several characteristics that matched with our general preferences for apartments.",25,A1,画像：間取り図,B2,魅力度分析,C6,(6) IoT/CS/Other(主観評価),en,2022/11/26,Proceedings of IEEE 8th Global Conference on Consumer Electronics (GCCE 2019),,,454,455,2019,10.1109/GCCE46687.2019.9015427,https://ieeexplore.ieee.org/document/9015427,LIFULL HOME'S高精細度間取り図画像データ,TRUE,,
29,https://dsc.repo.nii.ac.jp/?action=repository_uri&item_id=5009,Journal Article (DSC)_02,あり（論文誌）,"Narahara,Taro|Yamasaki,Toshihiko",Subjective Functionality and Comfort Prediction for Apartment Floor Plans and Its Application to Intuitive Online Property Search,,"This paper presents a new user experience for online apartment search using functionality and comfort as query items. Specifically, it has three technical contributions. First, we present a new dataset on the perceived functionality and comfort scores of residential floor plans using nine question statements about the level of comfort, openness, privacy, etc. Second, we propose an algorithm to predict the scores from the floor plan images. Lastly, we implement a new apartment search system and conduct a large-scale usability study using crowdsourcing. The experimental results show that our apartment search system can provide a better user experience. To the best of our knowledge, this is the first work to propose a highly accurate machine learning model for predicting the subjective functionality and comfort of apartments.",25,A1,画像：間取り図,B2,住み心地・快適度予測,C1 / C6,(1) ML/DL + (6) IoT/CS/Other(主観データ),en,2023/12/3,IEEE Transactions on Multimedia (TMM),,,1,14,2022,10.1109/TMM.2022.3214072,https://ieeexplore.ieee.org/document/9931648,LIFULL HOME'S高精細度間取り図画像データ,TRUE,,
30,https://dsc.repo.nii.ac.jp/?action=repository_uri&item_id=4729,Conference Paper (DSC),なし,"北林,遼大|笠西,哲|楢原,太郎|山崎,俊彦",住居用不動産間取り画像を用いた住み心地推定および街の魅力解析への応用,,,5,A1,画像：間取り図,B2,住み心地・魅力解析,C1 / C6,(1) ML/DL + (6) IoT/CS/Other(クラウドソーシング),ja,2022/11/26,データ工学と情報マネジメントに関するフォーラム（DEIM2022）論文集,,,,,2022,0.09/DEIM2022.2022.32072,https://proceedings-of-deim.github.io/DEIM2022/papers/C33-1.pdf,LIFULL HOME'S高精細度間取り図画像データ,TRUE,,
